iter	MultiRMSE
0	13.12737119
1	12.86872913
2	12.62918302
3	12.38495953
4	12.22609783
5	11.99475454
6	11.78528115
7	11.59550197
8	11.41798196
9	11.25753796
10	11.10244216
11	10.91263145
12	10.75051439
13	10.60507885
14	10.42219266
15	10.25842377
16	10.12293032
17	9.945469861
18	9.810880922
19	9.660564794
20	9.551352837
21	9.510979626
22	9.450752012
23	9.3084746
24	9.177800404
25	9.046559799
26	8.907887651
27	8.825258467
28	8.746933774
29	8.640981705
30	8.505922307
31	8.407959384
32	8.295341684
33	8.203808586
34	8.128955788
35	8.056717128
36	7.979412022
37	7.872881802
38	7.789462004
39	7.705924467
40	7.608744805
41	7.540499341
42	7.472917356
43	7.39629207
44	7.314486083
45	7.26679129
46	7.196872566
47	7.108621484
48	7.033578476
49	6.954913318
50	6.878525087
51	6.864340941
52	6.835572036
53	6.782729405
54	6.715334911
55	6.653365453
56	6.636305971
57	6.578017419
58	6.53012936
59	6.474587591
60	6.418080436
61	6.359515896
62	6.301852393
63	6.24844784
64	6.219698135
65	6.12947054
66	6.076522674
67	6.042795859
68	6.022654918
69	5.978774684
70	5.940766484
71	5.869336603
72	5.838951314
73	5.818260394
74	5.789768927
75	5.760190098
76	5.708045754
77	5.686640453
78	5.656532349
79	5.618481441
80	5.585949413
81	5.554844164
82	5.532024837
83	5.506287035
84	5.443219904
85	5.429776504
86	5.398517134
87	5.367707235
88	5.316415128
89	5.283337412
90	5.224237892
91	5.183489095
92	5.156413309
93	5.113454739
94	5.084933404
95	5.069346103
96	5.040839823
97	5.030931794
98	5.014929364
99	4.990259828
100	4.976163126
101	4.958535024
102	4.929862646
103	4.91440572
104	4.900951282
105	4.876317373
106	4.848341746
107	4.791118531
108	4.783302853
109	4.762003546
110	4.751422596
111	4.70003834
112	4.686800453
113	4.661397024
114	4.637563771
115	4.606396102
116	4.597094296
117	4.580149746
118	4.571995704
119	4.564419574
120	4.542189648
121	4.535895754
122	4.519270109
123	4.498373789
124	4.479385945
125	4.467926678
126	4.454953748
127	4.40053734
128	4.348115994
129	4.327999964
130	4.3174327
131	4.275825571
132	4.250249402
133	4.223292788
134	4.218219237
135	4.178415877
136	4.168075602
137	4.138858611
138	4.127362661
139	4.11682397
140	4.076855241
141	4.050635291
142	4.036879358
143	4.018597725
144	3.980320415
145	3.971896137
146	3.95114522
147	3.915216077
148	3.892341398
149	3.870319433
150	3.8551766
151	3.839079339
152	3.807049887
153	3.789956563
154	3.765533169
155	3.750567617
156	3.721988592
157	3.706387109
158	3.694740549
159	3.672911827
160	3.654727973
161	3.644457491
162	3.642001162
163	3.630736427
164	3.620046521
165	3.610819693
166	3.597033133
167	3.588319959
168	3.580577474
169	3.544393596
170	3.538943485
171	3.526545847
172	3.50651004
173	3.502783609
174	3.498071445
175	3.489269603
176	3.468959691
177	3.464824183
178	3.454636242
179	3.44419694
180	3.431512867
181	3.419434809
182	3.392929253
183	3.385100376
184	3.37860684
185	3.367329484
186	3.338152613
187	3.335764926
188	3.33159581
189	3.321650441
190	3.316071787
191	3.304497338
192	3.296939226
193	3.295314122
194	3.289838128
195	3.281358767
196	3.274100636
197	3.264398414
198	3.244338788
199	3.242165358
200	3.22063147
201	3.211332244
202	3.205524381
203	3.200737984
204	3.187442704
205	3.162659048
206	3.159316605
207	3.157082067
208	3.132629815
209	3.105381662
210	3.095818803
211	3.090555497
212	3.081708306
213	3.073133897
214	3.063140205
215	3.038792787
216	3.020986654
217	3.012504643
218	3.003226705
219	2.994896179
220	2.989946551
221	2.984748283
222	2.965194425
223	2.956077773
224	2.951444946
225	2.943702494
226	2.937044814
227	2.925228204
228	2.906952783
229	2.889303401
230	2.882508883
231	2.879135413
232	2.873349315
233	2.870283147
234	2.868062523
235	2.845863831
236	2.827443257
237	2.819030407
238	2.811675952
239	2.795096212
240	2.786568702
241	2.778218809
242	2.768364447
243	2.762747933
244	2.754798437
245	2.750635338
246	2.747602539
247	2.74120597
248	2.73490969
249	2.725341696
250	2.71766196
251	2.713829745
252	2.706546427
253	2.70008309
254	2.68485124
255	2.67838403
256	2.669549625
257	2.664112476
258	2.656003905
259	2.649925255
260	2.647656908
261	2.642880788
262	2.635680377
263	2.630909271
264	2.623861892
265	2.617837717
266	2.613058258
267	2.606319189
268	2.604260311
269	2.600307844
270	2.594789653
271	2.590656909
272	2.585888443
273	2.580378325
274	2.56508223
275	2.559293846
276	2.556232333
277	2.553384821
278	2.545187122
279	2.53873367
280	2.534413944
281	2.52949094
282	2.519722579
283	2.51059448
284	2.508019774
285	2.49964459
286	2.492279107
287	2.486637163
288	2.484305787
289	2.478809721
290	2.474183576
291	2.465029327
292	2.458725079
293	2.452530369
294	2.441005556
295	2.43678286
296	2.432642674
297	2.430566994
298	2.427509742
299	2.421469054
300	2.409936613
301	2.407964908
302	2.402732659
303	2.395027906
304	2.389640528
305	2.384312229
306	2.370104688
307	2.362439042
308	2.357836643
309	2.351993818
310	2.34628739
311	2.343481824
312	2.338191045
313	2.33400019
314	2.327291444
315	2.321387214
316	2.312850465
317	2.299517904
318	2.29575815
319	2.292703988
320	2.287394566
321	2.284818408
322	2.280433012
323	2.277158579
324	2.274266274
325	2.271807621
326	2.26759804
327	2.263000817
328	2.259453042
329	2.257325405
330	2.251524347
331	2.246257151
332	2.243474066
333	2.240174504
334	2.237699823
335	2.221740064
336	2.207364641
337	2.20362529
