iter	Passed	Remaining
0	137	274086
1	202	201913
2	266	177152
3	330	164950
4	406	162389
5	473	157484
6	537	152985
7	603	150269
8	666	147411
9	738	146940
10	800	144785
11	858	142218
12	925	141507
13	989	140395
14	1052	139241
15	1122	139149
16	1190	138844
17	1269	139819
18	1369	142796
19	1444	143032
20	1509	142283
21	1576	141763
22	1643	141281
23	1708	140640
24	1774	140168
25	1841	139821
26	1908	139433
27	1980	139482
28	2044	138979
29	2107	138385
30	2172	138005
31	2239	137713
32	2301	137166
33	2363	136642
34	2423	136060
35	2489	135835
36	2555	135584
37	2619	135247
38	2682	134874
39	2744	134474
40	2805	134061
41	2868	133715
42	2932	133479
43	2995	133172
44	3057	132814
45	3122	132656
46	3188	132491
47	3250	132192
48	3318	132118
49	3381	131871
50	3445	131672
51	3504	131301
52	3571	131186
53	3635	131016
54	3700	130869
55	3766	130749
56	3833	130661
57	3895	130431
58	3961	130340
59	4024	130129
60	4089	129986
61	4152	129807
62	4214	129565
63	4277	129406
64	4339	129179
65	4403	129023
66	4469	128936
67	4532	128766
68	4591	128485
69	4657	128424
70	4723	128341
71	4786	128182
72	4849	128003
73	4912	127867
74	4980	127836
75	5045	127738
76	5108	127583
77	5168	127346
78	5227	127117
79	5288	126919
80	5353	126830
81	5418	126741
82	5485	126706
83	5552	126649
84	5615	126505
85	5679	126398
86	5743	126294
87	5805	126129
88	5866	125968
89	5930	125849
90	5989	125648
91	6056	125613
92	6120	125500
93	6184	125397
94	6248	125289
95	6311	125171
96	6372	125021
97	6437	124948
98	6501	124848
99	6562	124688
100	6627	124608
101	6693	124549
102	6756	124436
103	6818	124307
104	6888	124312
105	6956	124306
106	7018	124175
107	7083	124091
108	7144	123954
109	7205	123809
110	7266	123657
111	7325	123484
112	7388	123383
113	7454	123318
114	7513	123148
115	7577	123061
116	7638	122941
117	7704	122880
118	7766	122757
119	7828	122642
120	7894	122596
121	7956	122483
122	8020	122399
123	8083	122292
124	8159	122391
125	8232	122448
126	8303	122463
127	8365	122348
128	8431	122291
129	8493	122175
130	8558	122099
131	8618	121964
132	8685	121929
133	8751	121867
134	8814	121769
135	8874	121635
136	8946	121654
137	9016	121661
138	9084	121628
139	9152	121597
140	9217	121525
141	9282	121462
142	9348	121399
143	9412	121323
144	9475	121223
145	9539	121142
146	9605	121083
147	9666	120963
148	9731	120889
149	9795	120807
150	9858	120719
151	9925	120671
152	9991	120616
153	10054	120525
154	10122	120495
155	10189	120447
156	10252	120353
157	10316	120276
158	10382	120209
159	10451	120189
160	10515	120110
161	10583	120073
162	10649	120023
163	10715	119958
164	10774	119829
165	10835	119714
166	10902	119664
167	10966	119583
168	11033	119545
169	11095	119435
170	11191	119707
171	11252	119592
172	11321	119557
173	11383	119456
174	11449	119401
175	11515	119343
176	11578	119247
177	11643	119178
178	11706	119096
179	11775	119060
180	11842	119012
181	11905	118922
182	11967	118824
183	12035	118788
184	12103	118749
185	12168	118677
186	12254	118806
187	12333	118871
188	12394	118766
189	12460	118701
190	12527	118653
191	12591	118572
192	12658	118518
193	12727	118485
194	12795	118441
195	12860	118364
196	12923	118276
197	12986	118192
198	13053	118137
199	13117	118060
200	13182	117982
201	13248	117925
202	13316	117876
203	13382	117820
204	13460	117860
205	13522	117764
206	13586	117685
207	13651	117609
208	13715	117532
209	13778	117447
210	13854	117465
211	13915	117367
212	13980	117291
213	14039	117172
214	14099	117062
215	14161	116964
216	14229	116921
217	14292	116834
218	14355	116743
219	14424	116703
220	14485	116608
221	14549	116524
222	14615	116467
223	14684	116425
224	14748	116351
225	14814	116287
226	14881	116236
227	14948	116178
228	15009	116080
229	15072	115990
230	15140	115949
231	15213	115938
232	15279	115876
233	15346	115816
234	15410	115742
235	15472	115649
236	15534	115554
237	15596	115464
238	15660	115390
239	15724	115311
240	15796	115293
241	15876	115332
242	15955	115363
243	16031	115374
244	16100	115329
245	16162	115239
246	16225	115156
247	16290	115085
248	16354	115010
249	16420	114942
250	16482	114854
251	16544	114763
252	16612	114711
253	16677	114642
254	16744	114587
255	16811	114529
256	16882	114500
257	16951	114458
258	17017	114395
259	17084	114334
260	17144	114228
261	17204	114130
262	17269	114059
263	17334	113989
264	17400	113924
265	17463	113841
266	17536	113824
267	17636	113976
268	17704	113930
269	17772	113873
270	17839	113816
271	17904	113748
272	17971	113687
273	18040	113639
274	18104	113565
275	18168	113484
276	18236	113431
277	18303	113374
278	18365	113289
279	18432	113229
280	18496	113150
281	18563	113093
282	18628	113019
283	18694	112955
284	18758	112879
285	18825	112823
286	18894	112777
287	18969	112761
288	19033	112687
289	19103	112643
290	19164	112549
291	19231	112492
